product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
6356385195,312874722,Short Sleeves,Korean loose T-shirt is the new trend of summer women Sweethearts outfit,16900000,6900000,7900000,59,No Brand,10336,7735,46761,6381,566,452,136,200,7735,4.653781512605042,494452,38107,1,"San Nicolas, Metro Manila",False,False,True,False,False,False,False,"708198f21ff27ab705d1e7938b8d2d9b,c9488c4cc7c2ae3db68bfd0658b24d16,2e559436bacf423e77c872897b8a9721,cac6da057dfba6fb6c23c324f906b5cd,7d54ce091cf5fd0229931ec845203a2a,f782c69dc111c1f2b2643e4a767e0307,24298bbd37438b76b977a9a8e91cd811,501899511f4faaf2478c8d6a0b750c7a,0aa62d99af20e02cffd290b686531d86","[{'name': 'color', 'options': ['3029', 'dog-pink', '3333', '3005', '3054', '3032', '3050', '3001', '3085', '3093', '3039', '3087', '3010', '3053', '3074', '3071', '3102', '3035', '3002', '3077', '3004', '3066', '3017', '3089', '3088', '3007', '3084', '3034', '3031', '3086', '3052', '3057', '3094', '3009', '3027', '3097', '3103', '3042', '3080', '3083', '9003', '3065', '3041', '3061', '3028', '3091', '3058', '3059', '3090', '3082'], 'images': ['c68abbb07be1d8d25af14017a8c1a4bd', '2e559436bacf423e77c872897b8a9721', '24fb3b54b99f89c1828bdfc9704e093c', '0873aa43d8b6c916a04ffaf9b8cf277a', '61ee415249aa2e2ccfbca43256cec7e4', 'e786aa1b6f1f3b60fa654237d0a1e0d8', '4afab93e77d457e3f9259a314c46818d', '023cf2788f1cad378050874df0ccfbbe', '0d7752075f1bfd4c265501a32eb1f935', '00a33691379bcd36848479e51e45d834', '96189f4d3783597b85e9d3a84d76bdfc', '173722b0c00ae4d2fabff9afabfaac3c', 'fd93b9e3ada32eec62ce6b723e5d19d1', '22fc6e027cbee14b22263353371230f9', '99eb5fa25101d4bcb550f801aa363f36', '6053bd35bc0f2a47a15511389fb6de9c', 'cd2e890a244a23c51776cd879e2ee62a', '6a135b2ca5816af96891a37c515df94f', '3d7a0f4b7444a8fabedef71ff4d1e4d6', '9e4df3983dd13729dff9f61160bfff9c', '742905f62025168d009246b1f69fd77e', '805db52792afaebb2f731c02adbcaa2f', '5b4d6d77c84fa241ed340943699ae88f', 'fecd29c0589c25ea5e0ea633e49936db', '65035a4b74c6ea52dcab406e396911dc', 'd5c2d25aa362f333c75123c0abb393e5', '3b5ce7668b9323af0ddd326a7d7bf57a', '36970aa6ab2c6664e00f163cdb0e35a3', 'fcaa1f729df0a545123a9c4e5ddc6d51', '10cbfdc0fb04c735d78bb4a3d8924a3a', 'b00d32401e194e3bac0c721329ee1597', '918f1676f8b248222cb2a4bc9af8ba29', '95af893c06fc5b4f531f36ce2895b565', 'e16d4b0876910a710d7f197880b754bc', '27fe0150a0242570df50ebdbf92e8f48', 'c6753f0e57e0a719c1043af0cc28b6b6', '24298bbd37438b76b977a9a8e91cd811', 'db64aa614aa204eaf2529e8696b3a61d', '3b4be49a96da8c3fd9b41122ca58f9c0', '46a1f5b045cb806180932e6ce1ee489b', 'bd4cfd1b598203927325dd8ca7d338c3', 'ce12dfe8fbd38ace7744df43f86c61ac', '7dcda7df626220419006bdbbeef550b9', '1a7d7c45372c2359216cfd80edf71c83', '1ad754218f62e29bb720089b1343e3ea', '42365bf5248709de7cfaf7282acddbb3', '44eecbcd5f7982e3df0a04f919cd4322', 'cac6da057dfba6fb6c23c324f906b5cd', '18b16093331fe0cc203f636a0ca70487', '347b54116c31de6a6c02f432b2276c7c'], 'properties': [], 'type': 0}]"
4268483575,331814357,Short Sleeves,fashion city Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse,6900000,6800000,7900000,53,,445,303,15949,261,16,14,5,7,303,4.712871287128713,49284,1448,1,"San Nicolas, Metro Manila",False,False,True,False,False,False,False,"24fb3b54b99f89c1828bdfc9704e093c,b420823fe6f8b9356b337bc1c9b01b46,d737b91e9758f048c1a36a03fcf7e688,978db2e53e2578f42c0e80c3a8a27724,8d48a403b2dba82e17f319daa58fb241,a1cafaa737d7130d31867d68c97d6f6e,918417feb273d93041bcd6449e507186,7eaa3e21c2643cfeaf91db0744886f08,3f606da0454932b4ad47a8bc6dc8a680","[{'name': 'colors', 'options': ['3088', '3002', '3090', '3057', '3017', '3103', '3041', '3071', '3053', '3005', '3050', '3009', '3058', '3032', '3001', '3015', '3061', '3054', '3007', '3031', '3087', '3077', '3069', '3074', '3094', '3059', '3034', '3083', '3035', '3085', '3105', '3102', '3066', '3010', '3097', '9001 d-duck cream', '3065', '3004', '3029', '3052', '3042', '3093', '3084', '3086', '3082', '3028', '3089', '3039', '3080', '3333'], 'images': ['b420823fe6f8b9356b337bc1c9b01b46', 'f5a08adb705ffb9f334e48927a90472c', 'd737b91e9758f048c1a36a03fcf7e688', '918f1676f8b248222cb2a4bc9af8ba29', '7bbc9a18012eb94f271ebc277b80a3fa', '1adb7a7f98b564d43f1fec8cd33327da', '7dcda7df626220419006bdbbeef550b9', '1629d573ef8cae3c91cd2a44e67c9be4', '0aa62d99af20e02cffd290b686531d86', '0873aa43d8b6c916a04ffaf9b8cf277a', '7abad7407515daea480ae741f18816dd', 'e16d4b0876910a710d7f197880b754bc', 'e4844b3ae5101dfa5bb94a0587b05a6d', 'e549d1c69fc9c6b578211aaba266fd9f', 'c74ec37fe2adc1befc32d291bd23b3ba', 'c185e54cd21763a0e23973560b81b8b9', 'dd196763bd1b3ef424d6ef51abda88ba', '8d8305784d17cab963b0bd65665fa388', 'd5c2d25aa362f333c75123c0abb393e5', 'c125a7f4ec6bc8e4734df2298852877d', '8670ab5f73e5542ff3db6822386a3f24', '9e4df3983dd13729dff9f61160bfff9c', 'aa341701321f827c39722d212a3e06fa', 'de1e7332fb7b8b1144403c2dd82630af', 'fc56180f108a57e8e7413932db7b0a64', 'cac6da057dfba6fb6c23c324f906b5cd', '37aff36d1ce3ba57c7a91c2344911e5a', '6d6d14b0d5dde5407e72853bcddf47ca', '45edbe635846b8a5e99a1e13efc0cca8', 'a1cafaa737d7130d31867d68c97d6f6e', '5b9d8c22cbda27071551d431a6ca0b57', '16652157e419bcaddf8eb919aea19c2b', 'ab4b86ae467c181d2b430abfb124b12c', '6b97c05645f13cc44ea32a05542259d7', 'd78ad5bd400fe6aede6782b828cc9a90', '3ea4400d7e48b296fb589ae4fcd88879', 'ce12dfe8fbd38ace7744df43f86c61ac', '742905f62025168d009246b1f69fd77e', '2008d75960859e913da7b9b270ac7ed6', 'c1a41a07d26874044df9452a53b4851c', '501899511f4faaf2478c8d6a0b750c7a', '5816ad7d292f8fc4057fa11aacb239f8', '2dad7da8b4cda07e2a6c3de2105ffbb7', '9f4b837601c1023e85cc8cef7a66f326', '347b54116c31de6a6c02f432b2276c7c', '69495fda9421e9bcf651023e4652022c', '887649c6603e2a90c7ad2e24dafae4d2', '1e45b634caa1ef0d99a1a10d242aecc9', '660ba82f6a743e93e20ebbc44aa2e2c9', '24fb3b54b99f89c1828bdfc9704e093c'], 'properties': [], 'type': 0}]"
11631821167,36934404,Short Sleeves,Melody Korean Layer Lettuce Top 11242#,28000000,5800000,5800000,79,,27,0,2025,0,0,0,0,0,0,0,126,0,1,"Taytay, Rizal",False,False,False,False,False,False,False,"b1b01bbc3e7929aa7e9ae6c05ca559e1,cc61d07b69f3334694b97a040ee19338,24b3f7e789f02912545fab60d710f8ed,424bd6b9c881b1f8d4bb1e92bfc1aeee,92251bdc1ac91561b95d554dd68b2068,f84968ca93c6bccfc2008b4a1f8ccf82,f61ce92dae74a70bb08054a5220a8f4d,6834238199a2e9bbf4b8a8a59f654c80","[{'name': 'Color', 'options': ['Old Rose', 'Rust', 'White', 'Army Green', 'Black'], 'images': None, 'properties': [], 'type': 0}]"
11127819418,74891644,Short Sleeves,Colorful ink girlfriend fashion Korean round neck tshirt tees top,15000000,6900000,6900000,54,,11,0,654,0,0,0,0,0,0,0,1496,0,1,"Valenzuela City, Metro Manila",False,False,False,False,False,False,False,"e157e9e3ca47f2f92de0db76d0d0061b,f9b77b1c47c8af6caa4d44040cfece49,64243fb2e1123e772331050a84597324,345abb6ccc4e6315ff12b2e8de440899,66540330bbb2f4b28dfd9c2340e834f1,27542418e86dbfcfb0c099ca11565123,50a786e128ec3883612e3c6a3adb5464","[{'name': 'design', 'options': ['1#', '2#', '3#'], 'images': ['66540330bbb2f4b28dfd9c2340e834f1', '27542418e86dbfcfb0c099ca11565123', '50a786e128ec3883612e3c6a3adb5464'], 'properties': [], 'type': 0}, {'name': 'color', 'options': ['white'], 'images': None, 'properties': [], 'type': 0}]"
4289697795,360379308,Short Sleeves,Chiffon Korean-Style Square Collar Slim Sweet Floral Short Sleeve Top,48000000,25400000,25400000,47,,1476,512,35567,466,23,13,4,6,512,4.833984375,2473,1030,1,Mainland China,False,False,True,False,False,False,False,"9c1db96dfb11c34c2f47d1a6169d2acb,564992c8f47dc666438a91dc08437820,ed48f538f421d750a2eb6d146f9e4615,b0857214e2fb5cf5e5882d80f1a190a1,3e62ad57a53d4e71ea0c9ca3edf70f06,9d5dc55df7d6674196489fe5f3df99df,acbf4edae7fbdd8f98ad2ce0172ceca4,c0892bd1b8376de56ee2ed07a7665d77","[{'name': 'Color', 'options': ['White', 'Black', 'Pink'], 'images': ['564992c8f47dc666438a91dc08437820', 'ed48f538f421d750a2eb6d146f9e4615', 'b0857214e2fb5cf5e5882d80f1a190a1'], 'properties': [], 'type': 0}, {'name': 'Size', 'options': ['S', 'M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
11306791340,360379308,Short Sleeves,Puff Sleeve Chiffon Square Collar Slim fit Short Sleeve Top Cute Tops,52800000,26800000,26800000,49,,7721,1088,115985,992,52,30,3,11,1088,4.848345588235294,2717,2459,1,Mainland China,False,False,True,False,False,False,False,"388b69a714cbdfefc0e10dcd5f640b8a,0af77775ac9a0b658b6afcf818f54a2c,c3b9059958abb2b4e257429125434429,50191c8cc9002e92541b4b5fb8998d4b,c8608f0a6b342111192d916812869416,be2751c2c98a08ea8517b4f47a2f15ba,746eeb93bfe8792d0233c39a2089f6be,fbdcb2c37e6df58ce9aacd472caedb12,fce35c18dc35926d36081d6f1d542c7e","[{'name': 'Color', 'options': ['Orange', 'Green', 'Blue', 'Pink'], 'images': ['c8608f0a6b342111192d916812869416', 'c3b9059958abb2b4e257429125434429', '0af77775ac9a0b658b6afcf818f54a2c', '50191c8cc9002e92541b4b5fb8998d4b'], 'properties': [], 'type': 0}, {'name': 'Size', 'options': ['S', 'M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
4293195306,430999411,Short Sleeves,Summer Korean women's plain cotton T-shirt with square neck and short sleeves,47000000,28200000,28200000,40,,10,1,338,1,0,0,0,0,1,5,1993,3,1,Mainland China,False,False,False,False,False,False,False,"5f283a19f9755fb50edb80ff597ec208,a596c1d944bf4d1866babb61a959232c,501bcb01923447378e97abeb356f4783,7aab8d14ab6cb213be5f00a5a0266db9,8ae2d05587202492957c2f74af0cbc33,cc2fb22a276084c366ad3640c6b99737,dfb4c6bd8649d356bb033f84f5c0dd49,b5b92d7e84a2aa46715c356fa3363e5a,7452115c3d8b3c5acf60e99702b78633","[{'name': 'color', 'options': ['black（cotton）', 'apricot（cotton）', 'purple（cotton）', 'pink（cotton）'], 'images': ['53d0a88cb8c2b23844ebab586cfeec99', 'f1346a1987c41edb48ec146834643408', '10f96bcb0736bf8a380b932956577fc0', '1311b25608252957e53c80fefde94a99'], 'properties': [], 'type': 0}, {'name': 'size', 'options': ['S 35-45kg', 'M 45-50kg', 'L 50-55kg', 'XL 55-60kg', '2XL 60-67kg'], 'images': None, 'properties': [], 'type': 0}]"
7956324829,36247807,Short Sleeves,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),7900000,7900000,7900000,61,No Brand,10985,9606,22571,8004,689,485,164,264,9606,4.666701374427322,496751,44414,1,"San Nicolas, Metro Manila",False,False,True,False,False,False,False,"6260b1c0316ae19e3e2f717d98c5254d,c2b9b3f638de806478c14636d3c08be0,6a16b71ccd9fd71262b0bb134aead829,a1cafaa737d7130d31867d68c97d6f6e,978db2e53e2578f42c0e80c3a8a27724,b12dad19a58ec7e1a1627aff54481965,501899511f4faaf2478c8d6a0b750c7a,80548280f127c361dd9e22d971dbd2df,e91309234327f911cf40bdb47cad17d7","[{'name': 'colors', 'options': ['3001', '3066', '3101', '3105', '3039', '3093', '3031', '3064', '3061', '3077', '3034', '3035', '3004', '3042', '3009', '3057', '3052', '3084', '3028', '3094', '3069', '3059', '3029', '3088', '3074', '3058', '3010', '3027', '3085', '3091', '3083', '3087', '3065', '3097', '3103', '3053', '3015', '3032', '3050', '3002', '3082', '3086', '3089', '3041', '3071', '3007', '3102', '3054', '3090', '3333'], 'images': ['c74ec37fe2adc1befc32d291bd23b3ba', 'ab4b86ae467c181d2b430abfb124b12c', '0a3bd6a9ed4d8db404d694e0e77d53da', 'ba0bab952b54f39a5def4a762fbd9eb4', '1e45b634caa1ef0d99a1a10d242aecc9', '5816ad7d292f8fc4057fa11aacb239f8', 'c125a7f4ec6bc8e4734df2298852877d', '1054421ed2a57b74131e9ba30cfc9be3', 'dd196763bd1b3ef424d6ef51abda88ba', '90be2f722830be1dba17d038f173c1a1', '37aff36d1ce3ba57c7a91c2344911e5a', '45edbe635846b8a5e99a1e13efc0cca8', '742905f62025168d009246b1f69fd77e', '501899511f4faaf2478c8d6a0b750c7a', 'db033f7e3ca1d47a2ce0d2276ddc215d', '918f1676f8b248222cb2a4bc9af8ba29', 'c1a41a07d26874044df9452a53b4851c', '2dad7da8b4cda07e2a6c3de2105ffbb7', '69495fda9421e9bcf651023e4652022c', 'c770360b7d127472ec12fbb8d095bae2', 'aa341701321f827c39722d212a3e06fa', '87dc7f4a7942a49d42584a2813661502', '2008d75960859e913da7b9b270ac7ed6', 'b420823fe6f8b9356b337bc1c9b01b46', 'de1e7332fb7b8b1144403c2dd82630af', 'e4844b3ae5101dfa5bb94a0587b05a6d', '6b97c05645f13cc44ea32a05542259d7', '509542c4c38a81d153cb7db31f1b7388', 'a1cafaa737d7130d31867d68c97d6f6e', 'e713beb0c5e0170abea56d250443e60e', '6d6d14b0d5dde5407e72853bcddf47ca', '8670ab5f73e5542ff3db6822386a3f24', 'a9ba47ba503c15398703e20d5646dfa7', 'f38f9722c31ee83eb24fb2d381a2cf9f', '3e51fbb150705f4300ebcf635b10a936', '0aa62d99af20e02cffd290b686531d86', 'c185e54cd21763a0e23973560b81b8b9', 'cee21f3bb9b3fbca43b549d2fff92186', '7abad7407515daea480ae741f18816dd', 'f5a08adb705ffb9f334e48927a90472c', '347b54116c31de6a6c02f432b2276c7c', '9f4b837601c1023e85cc8cef7a66f326', '887649c6603e2a90c7ad2e24dafae4d2', '2a09e7412cb90afab4aec8a6f3017942', '1629d573ef8cae3c91cd2a44e67c9be4', 'efb60912848b206a3db522ee9b72640a', '112016409f5e28a064706ad7bb25e777', 'c55e6b5797059fc75e427b30ab395711', 'd737b91e9758f048c1a36a03fcf7e688', '6260b1c0316ae19e3e2f717d98c5254d'], 'properties': [], 'type': 0}]"
2946704490,36247807,Short Sleeves,Korean Casual For Women Girl Shirt Basic Top Korea Style tops,7900000,7900000,7900000,21,No Brand,155,145,3594,128,6,8,1,2,145,4.798611111111111,499552,697,1,"San Nicolas, Metro Manila",False,False,False,False,False,False,False,"918417feb273d93041bcd6449e507186,f5a08adb705ffb9f334e48927a90472c,497e8f4c624993133fede7122abf77c0,501899511f4faaf2478c8d6a0b750c7a,742905f62025168d009246b1f69fd77e,3f606da0454932b4ad47a8bc6dc8a680,6b97c05645f13cc44ea32a05542259d7,8d48a403b2dba82e17f319daa58fb241,80548280f127c361dd9e22d971dbd2df","[{'name': 'colors', 'options': ['3090', '3080', '3001', '3042', '3007', '3004', '3057', '3041', '3017', '3071', '3064', '3088', '3105', '3066', '3005', '3061', '3097', '3103', '3031', '3069', '3077', '3059', '3034', '3053', '3093', '3010', '3002', '3098', '3074', '3027', '3082', '3035', '3087', '3052', '3084', '3015', '3085', '3086', '3032', '3083', '3089', '3102', '3039', '3101', '3091', '3058', '3028', '3029', '3065', '3067'], 'images': ['d737b91e9758f048c1a36a03fcf7e688', '660ba82f6a743e93e20ebbc44aa2e2c9', 'c74ec37fe2adc1befc32d291bd23b3ba', '501899511f4faaf2478c8d6a0b750c7a', 'c0f5729a012960896f06d69cf69fc392', '742905f62025168d009246b1f69fd77e', '918f1676f8b248222cb2a4bc9af8ba29', '2a09e7412cb90afab4aec8a6f3017942', '7bbc9a18012eb94f271ebc277b80a3fa', '1629d573ef8cae3c91cd2a44e67c9be4', '1054421ed2a57b74131e9ba30cfc9be3', 'b420823fe6f8b9356b337bc1c9b01b46', 'ba0bab952b54f39a5def4a762fbd9eb4', 'ab4b86ae467c181d2b430abfb124b12c', 'e91309234327f911cf40bdb47cad17d7', 'dd196763bd1b3ef424d6ef51abda88ba', 'f38f9722c31ee83eb24fb2d381a2cf9f', '3e51fbb150705f4300ebcf635b10a936', 'c125a7f4ec6bc8e4734df2298852877d', 'aa341701321f827c39722d212a3e06fa', '90be2f722830be1dba17d038f173c1a1', '87dc7f4a7942a49d42584a2813661502', '37aff36d1ce3ba57c7a91c2344911e5a', '0aa62d99af20e02cffd290b686531d86', '5816ad7d292f8fc4057fa11aacb239f8', '6b97c05645f13cc44ea32a05542259d7', 'f5a08adb705ffb9f334e48927a90472c', '7c9498209c2a70150a983cd9a552d4ba', 'de1e7332fb7b8b1144403c2dd82630af', '509542c4c38a81d153cb7db31f1b7388', '347b54116c31de6a6c02f432b2276c7c', '45edbe635846b8a5e99a1e13efc0cca8', '8670ab5f73e5542ff3db6822386a3f24', 'c1a41a07d26874044df9452a53b4851c', '2dad7da8b4cda07e2a6c3de2105ffbb7', 'c185e54cd21763a0e23973560b81b8b9', 'a1cafaa737d7130d31867d68c97d6f6e', '9f4b837601c1023e85cc8cef7a66f326', 'cee21f3bb9b3fbca43b549d2fff92186', '6d6d14b0d5dde5407e72853bcddf47ca', '887649c6603e2a90c7ad2e24dafae4d2', '112016409f5e28a064706ad7bb25e777', '1e45b634caa1ef0d99a1a10d242aecc9', '0a3bd6a9ed4d8db404d694e0e77d53da', 'e713beb0c5e0170abea56d250443e60e', 'e4844b3ae5101dfa5bb94a0587b05a6d', '69495fda9421e9bcf651023e4652022c', '2008d75960859e913da7b9b270ac7ed6', 'a9ba47ba503c15398703e20d5646dfa7', 'b0f69aeb51bab166f96d0502f66fc3cb'], 'properties': [], 'type': 0}]"
8044724338,310915998,Short Sleeves,Yihua 2021 summer Korean version of the new square collar lace wood ears floral chiffon short shirt top women,31800000,26800000,26800000,16,No Brand,901,236,2849,216,12,7,1,0,236,4.877118644067797,15395,550,1,Mainland China,False,False,False,False,False,False,False,"cc7c057653a85a7ca0402c3c28515cdd,b4cff32723540617a9c513f04b401848,990a28624aaca9ed0444bebbbc40bb53,b5acaa4728872d8ac34e96bcb3190293,80d0972a3c8c07cf98469dc44ac6ec3a,2b64c84bbcd35a6ff00dc4d5454b395f,6cf28d6039a4c660cd0bfb3fdb6980fa,5656f58f5140900b59bfb778ccfecef1,851690dc085ddd24ab1b039b43793369","[{'name': 'colour', 'options': ['Blue flower', 'Pink flower-1', 'Green flower', 'Pink flower-1-2'], 'images': ['80d0972a3c8c07cf98469dc44ac6ec3a', 'b4cff32723540617a9c513f04b401848', '990a28624aaca9ed0444bebbbc40bb53', 'b5acaa4728872d8ac34e96bcb3190293'], 'properties': [], 'type': 0}, {'name': 'size', 'options': ['S  (40-45kg）', 'M （ 45-50kg）', 'L  （50-55kg）', 'XL  （55-60kg）'], 'images': None, 'properties': [], 'type': 0}]"
