product_itemid,product_shopid,product_links,shop_review_links,image_links,shop_profile_links
9419964864,46399675,https://shopee.ph/ALLURELongsleevesFloralStringRuchedTopHOTITEM-i.46399675.9419964864,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9419964864&limit=50&offset=0&shopid=46399675&type=0,https://cf.shopee.ph/file/373e29ed72184b2ff335f96c3564cdb3,https://shopee.ph/api/v4/product/get_shop_info?shopid=46399675
11125008565,387728041,https://shopee.ph/LXLHighQualityPrelovedKoreanBlousesTops-i.387728041.11125008565,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11125008565&limit=50&offset=0&shopid=387728041&type=0,https://cf.shopee.ph/file/103a88c0d1b4122a5539914f509adf5b,https://shopee.ph/api/v4/product/get_shop_info?shopid=387728041
11532338566,348935723,https://shopee.ph/Koreanstylesunprotectionclothingwomensmidlengthcoatloosethinbeachshawlchiffontops-i.348935723.11532338566,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11532338566&limit=50&offset=0&shopid=348935723&type=0,https://cf.shopee.ph/file/e11535f0891afe479b39fce2cd0918c4,https://shopee.ph/api/v4/product/get_shop_info?shopid=348935723
10827604574,494426915,https://shopee.ph/KoreanVneckShirtLooseAllmatchChiffonFashionWaistCoatWomenBlouse-i.494426915.10827604574,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=10827604574&limit=50&offset=0&shopid=494426915&type=0,https://cf.shopee.ph/file/0a8c65185b748e9987d594ccbac429d8,https://shopee.ph/api/v4/product/get_shop_info?shopid=494426915
2970745931,428583081,https://shopee.ph/CODReadyStockKoreanWomensPuffSleeveCropTopSexySquareNeckShortChiffonLongSleeveBlouse-i.428583081.2970745931,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=2970745931&limit=50&offset=0&shopid=428583081&type=0,https://cf.shopee.ph/file/a6a961593cbaaea06c38c209b9c9fb52,https://shopee.ph/api/v4/product/get_shop_info?shopid=428583081
8078697827,312874722,https://shopee.ph/boutiquekoreanlongblouseOversizedTieDyeShirtBoyfriendShirtsBasicTopHighQualityPlus-i.312874722.8078697827,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8078697827&limit=50&offset=0&shopid=312874722&type=0,https://cf.shopee.ph/file/8868126649b7b739fe63842820040f07,https://shopee.ph/api/v4/product/get_shop_info?shopid=312874722
10218387908,382931801,https://shopee.ph/WomensBlouseSmockPlainPuffLongsleeves60804Biztree-i.382931801.10218387908,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=10218387908&limit=50&offset=0&shopid=382931801&type=0,https://cf.shopee.ph/file/a4855165f00f527f9e67f8e62beea488,https://shopee.ph/api/v4/product/get_shop_info?shopid=382931801
5688828359,347488706,https://shopee.ph/WomensTopKoreanLooseShirtFashionFloralPrintBlouseSummerQuarterSleevebangkokTop-i.347488706.5688828359,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=5688828359&limit=50&offset=0&shopid=347488706&type=0,https://cf.shopee.ph/file/4e6a4fbd2837a2e92ca79f7f9b375da6,https://shopee.ph/api/v4/product/get_shop_info?shopid=347488706
9787484600,420881087,https://shopee.ph/PlusSizeBlouseKnittedTopsWomensKoreanStyleCasualLongSleeveBlouseTops-i.420881087.9787484600,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9787484600&limit=50&offset=0&shopid=420881087&type=0,https://cf.shopee.ph/file/608ca22f4667d8f0df8add09af344fb2,https://shopee.ph/api/v4/product/get_shop_info?shopid=420881087
5354703001,304021783,https://shopee.ph/WomenslongsleeveSatinshirtwomensdesignsensesmallcrowdautumnnewversatileverticalfeelingretroHongKongstyleshirttop-i.304021783.5354703001,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=5354703001&limit=50&offset=0&shopid=304021783&type=0,https://cf.shopee.ph/file/fb996ee46f790a7af7dc2aa27103bd5a,https://shopee.ph/api/v4/product/get_shop_info?shopid=304021783
9042005202,219216737,https://shopee.ph/PlaidBlouseWomensSpring2021KoreanVersionofTheLooseShawlLongSunscreenTop-i.219216737.9042005202,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9042005202&limit=50&offset=0&shopid=219216737&type=0,https://cf.shopee.ph/file/57b6240c9f91aa2c95eb329539ed97df,https://shopee.ph/api/v4/product/get_shop_info?shopid=219216737
8741907497,219216737,https://shopee.ph/PlaidBlouseOversizeWomenLooseKoreanRetroShirt-i.219216737.8741907497,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8741907497&limit=50&offset=0&shopid=219216737&type=0,https://cf.shopee.ph/file/4b7ff937b481de00f05d72675258bea6,https://shopee.ph/api/v4/product/get_shop_info?shopid=219216737
3863385345,61697017,https://shopee.ph/AriaLettuceRibKnitStringLongSleeveTopTRENDYOOTD-i.61697017.3863385345,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=3863385345&limit=50&offset=0&shopid=61697017&type=0,https://cf.shopee.ph/file/0e2288ea2406a518e62eb3b92fb346b1,https://shopee.ph/api/v4/product/get_shop_info?shopid=61697017
