,product_itemid,product_shopid,product_links,shop_review_links,image_links,shop_profile_links
207,11616649124,468832347,https://shopee.ph/insSuperFireCreativePrintedShirtAutumnWomensKoreanStyleRetroCollegeStyleLooseSlimLongSleevedShirtStudent-i.468832347.11616649124,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11616649124&limit=50&offset=0&shopid=468832347&type=0,https://cf.shopee.ph/file/4a495343320b4efc334b774104c4b08e,https://shopee.ph/api/v4/product/get_shop_info?shopid=468832347
208,9026932193,99638316,https://shopee.ph/PRELOVEDUKAYUKAYKOREANFASHIONPOLOBLOUSETOPS-i.99638316.9026932193,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9026932193&limit=50&offset=0&shopid=99638316&type=0,https://cf.shopee.ph/file/7c5f0c697c688669c23f72c9f74df985,https://shopee.ph/api/v4/product/get_shop_info?shopid=99638316
209,4988240996,347488706,https://shopee.ph/2021WomensNewKoreanVNeckShirtWomensCasualLongSleeveTop-i.347488706.4988240996,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=4988240996&limit=50&offset=0&shopid=347488706&type=0,https://cf.shopee.ph/file/90b39a99ed31684ad1421639bf3b655b,https://shopee.ph/api/v4/product/get_shop_info?shopid=347488706
210,9260149368,91117081,https://shopee.ph/UkayUkayMixedQualityWomenKoreanFashionLongsleevePoloTopBlouseArmyGreenDarkGreenCOD-i.91117081.9260149368,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9260149368&limit=50&offset=0&shopid=91117081&type=0,https://cf.shopee.ph/file/1069b779b6de0e601a630a0994d0f373,https://shopee.ph/api/v4/product/get_shop_info?shopid=91117081
211,9800793300,287232038,https://shopee.ph/WomensApparelTopsLongSleevesGlowinthedarkQualityCODLSS10UNIPANDA02-i.287232038.9800793300,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9800793300&limit=50&offset=0&shopid=287232038&type=0,https://cf.shopee.ph/file/42159a7828d994d230655947b28fb757,https://shopee.ph/api/v4/product/get_shop_info?shopid=287232038
212,9357864232,91117081,https://shopee.ph/UkayUkayMixedQualityWomenLadiesKoreanFashionClothingBlackPinkSmallSizeTopsBlouseCOD-i.91117081.9357864232,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9357864232&limit=50&offset=0&shopid=91117081&type=0,https://cf.shopee.ph/file/9e1dd9febf4628ba0f3e1c23506ba11d,https://shopee.ph/api/v4/product/get_shop_info?shopid=91117081
213,6000305584,55748694,https://shopee.ph/SSKoreanTurtleNeckLongSleeveTopsBlouseCottonTop-i.55748694.6000305584,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6000305584&limit=50&offset=0&shopid=55748694&type=0,https://cf.shopee.ph/file/71ad7b6d131da60074a050b32f97421a,https://shopee.ph/api/v4/product/get_shop_info?shopid=55748694
214,11909087267,288394116,https://shopee.ph/WomensLongSleevedPlaidShirtKoreanLooseAllmatchBlouseTopCollegeStyleShirtsTops-i.288394116.11909087267,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11909087267&limit=50&offset=0&shopid=288394116&type=0,https://cf.shopee.ph/file/71538deba812ca41ef51a6f7a8d9be55,https://shopee.ph/api/v4/product/get_shop_info?shopid=288394116
215,3064203236,467411881,https://shopee.ph/WomensshortfashionFloralChiffonshirthighgradeforeignstylesmallshirtlongsleevetrumpetsleevetop-i.467411881.3064203236,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=3064203236&limit=50&offset=0&shopid=467411881&type=0,https://cf.shopee.ph/file/f7cb688f8ea0e4b4297de449250f0037,https://shopee.ph/api/v4/product/get_shop_info?shopid=467411881
216,9042005202,219216737,https://shopee.ph/PlaidBlouseWomensSpring2021KoreanVersionofTheLooseShawlLongSunscreenTop-i.219216737.9042005202,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9042005202&limit=50&offset=0&shopid=219216737&type=0,https://cf.shopee.ph/file/57b6240c9f91aa2c95eb329539ed97df,https://shopee.ph/api/v4/product/get_shop_info?shopid=219216737
217,8565341446,409900486,https://shopee.ph/PrelovedKoreanFashionTopsLongSleeves-i.409900486.8565341446,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8565341446&limit=50&offset=0&shopid=409900486&type=0,https://cf.shopee.ph/file/ce7a594dc4a1c0bc787e946b84ccecac,https://shopee.ph/api/v4/product/get_shop_info?shopid=409900486
218,9219677761,365058565,https://shopee.ph/ClassicKnittedLongsleeveBlouseKoreanTophighquality-i.365058565.9219677761,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9219677761&limit=50&offset=0&shopid=365058565&type=0,https://cf.shopee.ph/file/d40e33b8a904ee963a9bfc51095c070a,https://shopee.ph/api/v4/product/get_shop_info?shopid=365058565
219,1711876741,67997022,https://shopee.ph/WOMENSCHIFFONTOPS8568-i.67997022.1711876741,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=1711876741&limit=50&offset=0&shopid=67997022&type=0,https://cf.shopee.ph/file/b3c9dc410fe6ddce723ae3bbf92b708d,https://shopee.ph/api/v4/product/get_shop_info?shopid=67997022
220,8359656454,23250659,https://shopee.ph/KoreanCropTopSunFlowerBlouseLongSleeveChiffonOffShoulderTopShirt-i.23250659.8359656454,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8359656454&limit=50&offset=0&shopid=23250659&type=0,https://cf.shopee.ph/file/e8c9b05126206cc1f84edd08960eb4e6,https://shopee.ph/api/v4/product/get_shop_info?shopid=23250659
221,7582713454,36754442,https://shopee.ph/KathrynKoreanTrendLongSleeveCroptop11176-i.36754442.7582713454,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=7582713454&limit=50&offset=0&shopid=36754442&type=0,https://cf.shopee.ph/file/5d49368d6461e1f0e42f24043f134431,https://shopee.ph/api/v4/product/get_shop_info?shopid=36754442
