shopid,name,join_month,join_day,join_year,item_count,follower_count,response_time,response_rate,shop_location,rating_bad,rating_good,rating_normal,rating_star,is_shopee_verified,is_official_shop
36637203,Engle OnlineShop,September,29,2017,159,131376, 10:45:20,69,"San Nicolas,Metro Manila",2690,68105,5867,4.61,1,0
456337069,Harajuku T-shirt,June,1,2021,58,575, 12:40:41,29,"Quezon City,Metro Manila",25,414,45,4.5,0,0
449182992,Yacent_thrift_Clo,May,22,2021,16,587, 08:42:38,80,"Legazpi City,Albay",0,156,2,4.96,0,0
55748694,SS Swim Shop Fashion,February,7,2018,332,1740362, 09:45:56,90,"Taytay,Rizal",29249,1438959,72966,4.75,0,0
130651949,S & U,March,3,2019,437,71832, 11:39:40,72,"San Nicolas,Metro Manila",713,55178,1719,4.83,0,0
331790042,Crop Top & Korean Top,November,3,2020,756,101509, 10:44:47,100,,230,19016,626,4.84,0,0
29392066,Clairecvc Shop,August,2,2017,972,48938, 12:53:16,41,"Binondo,Metro Manila",1995,106882,4117,4.79,0,0
446577487,XiaYuTian.ph,May,19,2021,99,469, 10:03:15,96,,3,60,2,4.68,1,0
16590993,Adol Janet ,February,14,2017,462,540604, 12:41:16,74,"Binondo,Metro Manila",2586,316508,9979,4.85,0,0
360379308,Yzanice Shop,December,20,2020,87,18441, 08:44:19,97,,33,2311,82,4.83,1,0
1083822,Naked Clothing PH,October,11,2015,519,464590, 12:11:18,53,"Taytay,Rizal",2658,377974,9068,4.88,0,0
410987698,sanyanghw.ph,March,26,2021,28,822, 08:52:50,95,,3,99,3,4.82,1,0
64360491,Yzkzks.ph,April,9,2018,702,86896, 10:33:28,92,"Pasay City,Metro Manila",403,60342,1215,4.89,0,0
46399675,ABUBOT_PH,December,5,2017,460,2218602, 09:40:17,60,"Pasig City,Metro Manila",107448,2356663,164999,4.61,0,0
325618926,Be Young Life,October,21,2020,130,20492, 10:35:03,92,,35,3969,120,4.86,1,0
324727362,Ubras,October,19,2020,258,12435, 08:04:46,97,"Binondo,Metro Manila",140,12712,377,4.85,0,0
