cmtid,itemid,shopid,author_username,comment,rating_star,no_tag,pos_good_quality,pos_excellent_quality,pos_very_accomodating,pos_well_packaged,pos_item_shipped_immediately,pos_will_order_again,neg_defective,neg_did_not_receive_item,neg_damaged_packaging,neg_will_not_order_again,neg_rude_seller,neg_item_shipped_late,neg_item_different_from_picture
5277598302,9960386794,325618926,christille11,"Maganda ang designs. Honestly, hindi ganon sa pic ang thick ng cloth yet maganda naman kung susuotin hindi makikita ang boobs mong FLAT.🥴",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5151970250,9960386794,325618926,anniemarabillosevilla,Ang ganda po  talaga.at mabait c seller nag rply agad sa msg.thank you.love it,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5225959687,9960386794,325618926,n*****n,Its has a good quality of cloth and it has a good tailor. I just add plus one size on my order as i follow the advice of my fellow customer. But i just regret i should just order my original size. Thanks seller.,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5050303128,9960386794,325618926,h*****o,Xl pero small.. Medium-semi  Large  ako eh.. Try ko ung xl para may allowance sna kung maluwang pabawasan na lang.. Natawa ko eh.. Bata ang magsusuot?? 😑😑😑😑😑😑😑😑😑 Small ilagay nyo.. D ung may iba pa kayong nalalaman na size.. Duh... 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5212271503,9960386794,325618926,m*****l,Size is XL but can only fit small,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5173006439,9960386794,325618926,c*****j,Medjo malawag yung shoulder sa right side Peru okay lang nmn di halata,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5098270093,9960386794,325618926,fqiyjiawo6,Ang ganda po ng fitting 😍😍😍🤩🤩🤩🥰🥰🥰🥰🥰🥰👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5034482843,9960386794,325618926,m*****1,Super nice this ellegant blouse.love it so much.Saktong sakto lang talaga yung fit sakin.sana meron pa silang xxl para may allowance kunti.but so far maganda talaga.,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5666919431,9960386794,325618926,rubiegracesawey,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5707967659,9960386794,325618926,maryxellmoriones,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5730584074,9960386794,325618926,lavander20,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5735014024,9960386794,325618926,lhelnatividad,,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5607485601,9960386794,325618926,satairapansibulanleyann,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5633149566,9960386794,325618926,mitchdacutanan,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5683959625,9960386794,325618926,jessyrosales,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5612741538,9960386794,325618926,janemurcillonopueto,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5646561177,9960386794,325618926,jahjahbianes,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600429201,11809388760,360379308,c*****4,Super Ganda 💕 so love it . Order next time again pag maka budget ☺️☺️,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5488002511,11809388760,360379308,charvie15,"The products arrived in good condition, seller secured it with bubble wrap to make sure na walang damaged na mangyayari, Thank you for that seller. Sobrang bait din ni seller very accommodating and ini-entertain nya talaga mga concerns mo. Sure to order again, till next transaction. Thank you ♥️",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5491304572,11809388760,360379308,bleaumhae,mejo manipis lng pero so far mgnda ang pgkakatahi.. yung tatlo mgnda fitting sken yung isa lng di ko ngustuhan maluwag yung s my braso banda..mejo mtgal din shipping .. anyway thank you seller.,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5738184013,11809388760,360379308,rosem_gregorio,"Maganda sya at nagustuhan ko, super tagal lang madeliver. Pero ayos lang, kasi maganda naman ang quality ng product. Thank you shoppe and sa seller. ☺️ Satisfied costumer here 😉",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5597442694,11809388760,360379308,7qt922tm6y,So nice. Thankyou,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5416084160,11809388760,360379308,rizadeguzmanang,To small,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5464796715,11809388760,360379308,floramaymoranogamba,maliit amg sizes,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5479662466,11809388760,360379308,mayflorfrancisco,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5401381816,11809388760,360379308,mialapniten,I like the fabric. Item is in good quality. Fits me well. Will order again. Thank you seller.,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5240316270,11809388760,360379308,sherellbonijarmel,Good Quality and good condition thanks seller rate me ah,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5251289592,11809388760,360379308,k*****2,Sobrang nipis!!!! May size pang indicated pero ang ibbigay lang naman ay FREE SIZE NA FIT LANG SA XS AT S FRAME!!! Never again sa store na 'to!!!,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5720834598,11809388760,360379308,elizabethaitum,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5752950236,11809388760,360379308,marlenecarbonelreyes,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5685787592,11809388760,360379308,joanramoyla,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5665130390,11809388760,360379308,mejelbalicastro,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5544464933,11809388760,360379308,francesdenieeeeel,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5742757177,11809388760,360379308,jenelynladista,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5663664360,11809388760,360379308,benitez123,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5520452734,11809388760,360379308,princess_iabarbie,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5743291939,11809388760,360379308,lygrapes200024,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5750374638,11809388760,360379308,tulad0822,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5743104456,11809388760,360379308,valcacho,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5749252326,11809388760,360379308,naejmoraca,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5614528717,11809388760,360379308,darlynflorida,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5645340422,11809388760,360379308,hrheehee,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5606941265,11809388760,360379308,jzrjhn,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5609010319,11809388760,360379308,shermainerim,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5496684727,11809388760,360379308,j*****a,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
