product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_variation_count
6356385195,312874722,Short Sleeves,Korean loose T-shirt is the new trend of summer women Sweethearts outfit,169,69,79,59,No Brand,10336,7735,46761,6381,566,452,136,200,7735,4.65,494452,38107,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
4268483575,331814357,Short Sleeves,fashion city Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse,69,68,79,53,No Brand,445,303,15949,261,16,14,5,7,303,4.71,49284,1448,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
11631821167,36934404,Short Sleeves,Melody Korean Layer Lettuce Top 11242#,280,58,58,79,No Brand,27,0,2025,0,0,0,0,0,0,0.0,126,0,1,"Taytay, Rizal",0,0,0,0,0,0,0,5
11127819418,74891644,Short Sleeves,Colorful ink girlfriend fashion Korean round neck tshirt tees top,150,69,69,54,No Brand,11,0,654,0,0,0,0,0,0,0.0,1496,0,1,"Valenzuela City, Metro Manila",0,0,0,0,0,0,0,3
4289697795,360379308,Short Sleeves,Chiffon Korean-Style Square Collar Slim Sweet Floral Short Sleeve Top,480,254,254,47,No Brand,1476,512,35567,466,23,13,4,6,512,4.83,2473,1030,1,Mainland China,0,0,1,0,0,0,0,3
11306791340,360379308,Short Sleeves,Puff Sleeve Chiffon Square Collar Slim fit Short Sleeve Top Cute Tops,528,268,268,49,No Brand,7721,1088,115985,992,52,30,3,11,1088,4.85,2717,2459,1,Mainland China,0,0,1,0,0,0,0,4
4293195306,430999411,Short Sleeves,Summer Korean women's plain cotton T-shirt with square neck and short sleeves,470,282,282,40,No Brand,10,1,338,1,0,0,0,0,1,5.0,1993,3,1,Mainland China,0,0,0,0,0,0,0,4
7956324829,36247807,Short Sleeves,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),79,79,79,61,No Brand,10985,9606,22571,8004,689,485,164,264,9606,4.67,496751,44414,1,"San Nicolas, Metro Manila",0,0,1,0,0,0,0,50
2946704490,36247807,Short Sleeves,Korean Casual For Women Girl Shirt Basic Top Korea Style tops,79,79,79,21,No Brand,155,145,3594,128,6,8,1,2,145,4.8,499552,697,1,"San Nicolas, Metro Manila",0,0,0,0,0,0,0,50
8044724338,310915998,Short Sleeves,Yihua 2021 summer Korean version of the new square collar lace wood ears floral chiffon short shirt top women,318,268,268,16,No Brand,901,236,2849,216,12,7,1,0,236,4.88,15395,550,1,Mainland China,0,0,0,0,0,0,0,4
11133665565,498848180,Short Sleeves,French Floral Square Collar Puff Sleeve Long-sleeved Shirt Female Spring Short Chiffon Top,509,255,255,50,No Brand,4,0,267,0,0,0,0,0,0,0.0,1500,0,1,Mainland China,0,0,0,0,0,0,0,3
8647149697,325618926,Short Sleeves,Cotton Chubby Square Collar Blouse Fairy Korean Style Lace-up Pleated Tops Puff Sleeve Ribbon Shirt,600,268,268,55,No Brand,2887,223,44467,207,11,0,4,1,223,4.88,8868,502,1,Mainland China,0,0,0,0,0,0,0,3
8335215859,273094218,Short Sleeves,Women Summer Mid Length Purple T-shirt Fashion Top Pattern Printed Tee Loose Short Sleeve Oversize Round Neck Tshirt,378,156,156,59,No Brand,846,190,5797,183,5,2,0,0,190,4.95,783,354,1,"Guiguinto, Bulacan",0,0,0,0,0,0,0,1
8812869286,46399675,Short Sleeves,MIKASA Korean Squareneck Knitted Top,200,55,55,73,No Brand,14808,14958,83252,13631,577,419,131,200,14958,4.83,13857,41087,1,"Pasig City, Metro Manila",0,0,1,1,0,0,0,7
3264364106,49777359,Short Sleeves,2020 Summer New Korean Unisex Fashion Wild Hip-hop Gradient Short Sleeve T-shirt,356,168,168,53,No Brand,798,223,1190,198,10,13,0,2,223,4.8,1105,704,1,"Tondo I / Ii, Metro Manila",0,0,0,1,0,0,0,4
8276094865,419236946,Short Sleeves,Women Office Lady Wear Basic Plus Size Loose Satin Silk Short Sleeve Blouse Top,848,255,255,70,No Brand,64,3,1955,3,0,0,0,0,3,5.0,970,12,1,Mainland China,0,0,0,0,0,0,0,4
10134209382,484975541,Short Sleeves,Japanese Tie-Short SleeveTWomen's Loose Korean-Style T-shirtinsTrendy Harajuku Style Student Hong Kong Style Half Sleeve Top,642,174,199,73,No Brand,3,0,50,0,0,0,0,0,0,0.0,3999,0,1,Mainland China,0,0,0,0,0,0,0,8
4692049358,467989456,Short Sleeves,Triple A Women Short-sleeved T-shirt Letter print loose student couple outfit 2021 summer Korean version plus size top,498,249,249,50,No Brand,390,4,8936,4,0,0,0,0,4,5.0,199987,11,1,Mainland China,0,0,0,1,0,0,0,2
4056386412,312874722,Short Sleeves,boutique Oversized Fashion T Shirt for Women - Casual Tops (Minidress),169,69,79,59,No Brand,2867,2240,24716,1892,138,126,30,54,2240,4.69,266543,11110,1,"San Nicolas, Metro Manila",1,0,1,0,0,0,0,50
